country,life expectancy,national income per capita,population density,air pollution,sanitation facility,education expenditure,clean water source,health expenditure,urban population percentage,carbon dioxide emission
Gabon,64.58081999999999,4786.782601474721,6.40490161834905,29.2,41.6,3.06,92.7,380.25873312,86.65799999999999,2.8818711898256804
Greece,80.63278000000003,17892.5066823353,85.067579519007,11.8,99.0,3.1,100.0,2017.22275798,77.343,6.30685109479425
Ireland,80.96538000000002,35997.5320525956,66.74835244592829,9.4,90.4,6.74,97.8,4156.5902661,62.667,7.60387330605655
Italy,82.32585999999998,28745.9931875639,204.779859930645,16.3,99.5,3.93,100.0,3294.848511,68.686,5.723809985027049
Kenya,62.57568000000001,1135.20418329735,76.77000562251821,16.0,29.9,4.88,62.3,69.99987383,24.78,0.30440219769440197
Myanmar,66.15154,1010.2079561299,81.12915569302379,49.8,79.5,0.7,80.4,17.93361636,33.007,0.23787406908624897
Mauritius,74.10355,8616.91927136121,620.026108374384,13.9,93.2,3.5,99.9,455.52927878,39.979,2.960046970849
Niger,60.89352,334.42569301468995,14.493457803742,69.9,10.5,4.16,57.3,20.779351899999998,18.22,0.106860920526505
Panama,77.50749,10572.2097195899,51.1929378531073,11.8,73.9,2.8,94.1,906.13785484,65.994,2.72301765543793
Peru,75.28803,5446.27629142616,23.87926640625,28.6,74.6,2.69,85.9,346.49262379,77.954,1.8698838535430602
Portugal,80.61548,17515.6332524893,114.162609170306,9.2,99.6,5.14,100.0,2059.46143413,62.338,4.42398077131801
Paraguay,73.76443,3750.8772572432795,16.2740221495092,15.5,86.8,4.88,95.0,469.00794008,59.174,0.7690545247521949
Rwanda,65.23911,572.533004304503,449.051276854479,44.5,60.0,4.28,74.9,52.20386055,26.869,0.0721609626925929
Senegal,66.03338000000001,904.751605086611,73.8640263854984,34.9,46.6,5.19,77.0,46.91551225,43.07899999999999,0.592298341591168
Sierra Leone,50.39339,621.3100234771599,85.6034774175672,19.3,13.0,2.58,60.6,92.40482970000001,39.226,0.19287946204954698
Swaziland,57.5793,2819.8739545117796,72.71168604651159,17.7,57.5,9.23,74.1,272.6272312,21.337,0.870832637023734
Trinidad and Tobago,70.98109000000002,11360.4358890823,262.814814814815,12.4,91.5,2.87,95.1,1084.3623824000001,8.666,34.5202367531003
Tunisia,74.94266999999998,3232.11699446687,70.0727342945417,34.6,90.9,5.9,97.3,309.46925507,66.456,2.54145179809856
