County/City,Democratic,Republican,Total Votes Cast,Year,Republican Share
Spotsylvania County (CD 7),3118,4555,9291,1992,49.02593908
Stafford County,7718,12528,24871,1992,50.3719191
Staunton City,2851,4989,9232,1992,54.04029463
Suffolk City (CD 3),353,373,860,1992,43.37209302
Suffolk City (CD 4),8843,8324,19363,1992,42.98920622
Surry County,1823,1046,3275,1992,31.9389313
Sussex County,2193,1527,4253,1992,35.90406772
Tazewell County,8586,6375,17056,1992,37.37687617
Virginia Beach City (CD 2),43203,67094,134331,1992,49.94677327
Virginia Beach City (CD 4),1091,1842,3454,1992,53.32947307
Warren County,3554,4319,9676,1992,44.63621331
Washington County,7269,9150,18995,1992,48.1705712
Waynesboro City,2302,3758,7149,1992,52.56679256
Westmoreland County,2758,2554,6223,1992,41.04129841
Williamsburg City,1856,1349,3719,1992,36.27319172
Winchester City,2768,3833,7701,1992,49.77275678
Wise County,7681,5144,14857,1992,34.62340984
Wythe County,3616,5121,10492,1992,48.80861609
York County,6218,10197,19966,1992,51.0718221
TOTALS,1038650,1150517,2558665,1992,44.96551913
Accomack County,5220,5013,11654,1996,43.01527373
Albemarle County,14089,15243,31228,1996,48.81196362
Alexandria City,27968,15554,45399,1996,34.26066653
Alleghany County,2398,2015,5074,1996,39.71225857
Amelia County,1625,2119,4144,1996,51.13416988
Amherst County,4864,5094,10924,1996,46.6312706
Appomattox County,2239,2625,5477,1996,47.92769764
Arlington County,45573,26106,75376,1996,34.63436638
Augusta County,5965,13458,22102,1996,60.89041716
Bath County,922,847,2051,1996,41.29692833
Bedford County,7786,11955,22109,1996,54.07300194
Bedford City,1065,990,2311,1996,42.83859801
Bland County,939,1167,2537,1996,45.99921167
Botetourt County,4576,6404,12380,1996,51.72859451
Bristol City,2586,2983,6026,1996,49.50215732
Brunswick County,3442,2059,5918,1996,34.79215951
Buchanan County,6551,2785,10332,1996,26.95509098
Buckingham County,2374,1974,4850,1996,40.70103093
Buena Vista City,1090,713,2057,1996,34.66212931
Campbell County,6788,10273,18902,1996,54.34874616
Caroline County,3897,2816,7285,1996,38.65477008
Carroll County,3611,5088,9969,1996,51.03821848
Charles City County,1842,729,2787,1996,26.15715823
Charlotte County,2007,2103,4614,1996,45.5786736
Charlottesville City,7916,4091,12789,1996,31.98842755
Chesapeake City,28713,29251,62686,1996,46.66273171
Chesterfield County,30220,56650,93305,1996,60.71485987
Clarke County,1906,2201,4569,1996,48.17246662
Clifton Forge City,974,486,1641,1996,29.61608775
Colonial Heights City,1782,4632,6953,1996,66.61872573
Covington City,1394,763,2453,1996,31.10476967
Craig County,895,979,2159,1996,45.34506716
Culpeper County,3907,5688,10553,1996,53.89936511
Cumberland County,1303,1544,3190,1996,48.40125392
Danville City,8168,9254,18519,1996,49.97030077
Dickenson County,3913,2229,6868,1996,32.45486313
Dinwiddie County,3871,3503,8166,1996,42.89737938
Emporia City,1103,835,2054,1996,40.65238559
Essex County,1668,1627,3533,1996,46.05151429
Fairfax County,170150,176033,365263,1996,48.19349346
Fairfax City,3909,4319,8745,1996,49.38822184
Falls Church City,2375,1644,4284,1996,38.37535014
Fauquier County,6759,11063,19258,1996,57.4462561
Floyd County,1909,2374,4939,1996,48.0664102
Fluvanna County,2676,3442,6663,1996,51.65841213
Franklin County,7300,7382,16987,1996,43.45676105
Franklin City,1962,1200,3385,1996,35.45051699
Frederick County,5976,10608,18412,1996,57.61459917
Fredericksburg City,3215,2579,6164,1996,41.83971447
Galax City,1033,910,2181,1996,41.72397983
